FSASSET,FSEARN,WRK_POOR,FSTOTDE2,TPOV,FSTANF,FSNETINC,FSSLTDED,FSUSIZE,FSTOTDED,FSERNDE2,FSGRINC,FSWAGES,RAWERND,FSGA,FSDIS,SHELDED,FSERNDED,TANF_IND,FSNELDER,FSSLTDE2,FSNONCIT,CERTHHSZ,FSSTDDE2,HWGT,FSSSI,RAWNET,LIQRESOR,REALPROP,FSUNEARN,CAT_ELIG,FSVEHAST,VEHICLEA
0.0,0.0,0.0,305.0,74.0,0.0,298.0,171.0,1.0,305.0,0.0,603.0,0.0,0.0,0.0,1.0,172.0,0.0,0.0,0.0,171.0,0.0,1.0,201.0,808.3745990311855,603.0,298.0,0.0,0.0,603.0,1.0,0.0,1.0
0.0,720.0,1.0,394.0,65.0,0.0,326.0,91.0,2.0,394.0,216.0,720.0,720.0,144.0,0.0,0.0,91.0,144.0,0.0,0.0,91.0,0.0,2.0,201.0,811.9007636838924,0.0,326.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,134.0,78.0,0.0,504.0,0.0,1.0,134.0,0.0,638.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,134.0,869.2314375616089,0.0,504.0,0.0,0.0,638.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,711.655694960853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,42.0,1.0,142.0,31.0,209.0,109.0,0.0,1.0,142.0,8.0,251.0,42.0,8.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,134.0,747.5177605149188,0.0,109.0,0.0,0.0,209.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,711.655694960853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,688.0,1.0,787.0,57.0,0.0,159.0,318.0,4.0,787.0,205.0,946.0,688.0,138.0,0.0,0.0,319.0,137.0,0.0,0.0,318.0,0.0,4.0,208.0,771.1370055586899,0.0,157.0,0.0,0.0,258.0,0.0,0.0,1.0
0.0,215.0,1.0,346.0,35.0,0.0,232.0,164.0,4.0,346.0,65.0,578.0,0.0,43.0,0.0,0.0,164.0,43.0,0.0,0.0,164.0,1.0,4.0,209.0,795.045049260094,0.0,232.0,0.0,0.0,363.0,0.0,0.0,1.0
0.0,1476.0,1.0,637.0,107.0,0.0,839.0,208.0,3.0,637.0,442.0,1476.0,1476.0,295.0,0.0,0.0,209.0,295.0,0.0,0.0,208.0,0.0,3.0,201.0,978.4363172306392,0.0,838.0,0.0,0.0,0.0,0.0,0.0,1.0
555.0,1344.0,1.0,607.0,117.0,0.0,1340.0,0.0,4.0,607.0,268.0,1947.0,1344.0,269.0,0.0,1.0,0.0,268.0,0.0,0.0,0.0,0.0,4.0,139.0,1155.8391633729448,603.0,1339.0,555.0,0.0,603.0,0.0,0.0,1.0
0.0,1376.0,1.0,409.0,125.0,0.0,967.0,0.0,2.0,409.0,275.0,1376.0,1376.0,275.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,0.0,2.0,134.0,1003.1651133253492,0.0,967.0,0.0,0.0,0.0,0.0,0.0,1.0
5.0,0.0,0.0,184.0,9.0,0.0,0.0,221.0,5.0,383.0,0.0,184.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,22.0,0.0,5.0,44.0,747.4949387192786,0.0,11.0,5.0,0.0,184.0,0.0,0.0,1.0
0.0,0.0,0.0,441.0,84.0,0.0,242.0,307.0,1.0,441.0,0.0,683.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,307.0,0.0,1.0,201.0,790.9869308826654,0.0,242.0,0.0,0.0,683.0,0.0,0.0,1.0
0.0,829.0,1.0,426.0,43.0,0.0,403.0,99.0,5.0,426.0,248.0,829.0,0.0,165.0,0.0,0.0,110.0,165.0,0.0,0.0,99.0,1.0,5.0,243.0,878.9891790964731,0.0,390.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,134.0,74.0,0.0,469.0,0.0,1.0,134.0,0.0,603.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.0,864.8845205265526,603.0,469.0,0.0,0.0,603.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,3.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,704.5805438707989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,310.0,103.0,0.0,534.0,176.0,1.0,310.0,0.0,844.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,1.0,176.0,0.0,1.0,201.0,869.2314375616088,0.0,534.0,0.0,0.0,844.0,0.0,0.0,1.0
0.0,200.0,1.0,577.0,40.0,469.0,92.0,398.0,4.0,577.0,60.0,669.0,200.0,40.0,0.0,0.0,398.0,40.0,1.0,0.0,398.0,0.0,4.0,209.0,749.4024203653986,0.0,92.0,0.0,0.0,469.0,1.0,0.0,1.0
0.0,0.0,0.0,134.0,81.0,0.0,756.0,0.0,2.0,134.0,0.0,890.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,2.0,134.0,952.088838139332,0.0,732.0,0.0,0.0,890.0,0.0,0.0,1.0
0.0,0.0,0.0,139.0,60.0,390.0,854.0,0.0,4.0,139.0,0.0,993.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,139.0,997.1766915079196,603.0,854.0,0.0,0.0,993.0,1.0,0.0,1.0
0.0,0.0,0.0,231.0,28.0,231.0,0.0,183.0,1.0,317.0,0.0,231.0,0.0,0.0,0.0,0.0,183.0,0.0,1.0,0.0,97.0,0.0,1.0,115.0,711.655694960853,0.0,0.0,0.0,0.0,231.0,1.0,0.0,1.0
11.0,237.0,1.0,537.0,28.0,0.0,0.0,417.0,5.0,626.0,0.0,537.0,237.0,47.0,0.0,0.0,417.0,47.0,0.0,0.0,328.0,0.0,5.0,153.0,747.4949387192786,0.0,0.0,11.0,0.0,300.0,0.0,0.0,1.0
0.0,0.0,0.0,286.0,104.0,0.0,858.0,152.0,2.0,286.0,0.0,1144.0,0.0,0.0,0.0,1.0,152.0,0.0,0.0,1.0,152.0,0.0,2.0,201.0,984.6907159197356,0.0,858.0,0.0,0.0,1144.0,0.0,0.0,1.0
0.0,1066.0,1.0,352.0,64.0,0.0,714.0,0.0,4.0,352.0,213.0,1066.0,1066.0,213.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,4.0,139.0,951.534062604676,0.0,714.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,134.0,113.0,0.0,1112.0,0.0,2.0,134.0,0.0,1246.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,134.0,1003.1651133253492,363.0,1112.0,0.0,0.0,1246.0,1.0,0.0,1.0
0.0,0.0,0.0,489.0,36.0,0.0,114.0,350.0,4.0,489.0,0.0,603.0,0.0,0.0,0.0,1.0,350.0,0.0,0.0,0.0,350.0,0.0,4.0,209.0,755.9227959233921,603.0,114.0,0.0,0.0,603.0,0.0,0.0,1.0
0.0,903.0,1.0,701.0,111.0,0.0,202.0,387.0,1.0,701.0,270.0,903.0,903.0,181.0,0.0,0.0,388.0,180.0,0.0,0.0,387.0,0.0,1.0,201.0,777.946179776418,0.0,201.0,0.0,0.0,0.0,0.0,0.0,1.0
26.0,0.0,0.0,134.0,28.0,310.0,176.0,0.0,2.0,134.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,134.0,762.9979470141016,0.0,176.0,26.0,0.0,310.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,2.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,705.4012962642041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9.0,648.0,1.0,312.0,78.0,320.0,1201.0,21.0,5.0,312.0,150.0,1513.0,648.0,130.0,0.0,0.0,21.0,129.0,1.0,0.0,21.0,0.0,5.0,183.0,1138.7174720868086,0.0,1200.0,9.0,0.0,865.0,1.0,0.0,1.0
992.0,0.0,0.0,259.0,76.0,0.0,364.0,125.0,1.0,259.0,0.0,623.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,1.0,125.0,0.0,1.0,201.0,830.1091842290721,312.0,363.0,992.0,0.0,623.0,1.0,0.0,1.0
0.0,0.0,0.0,517.0,69.0,0.0,45.0,383.0,1.0,517.0,0.0,562.0,0.0,0.0,0.0,0.0,405.0,0.0,0.0,1.0,383.0,0.0,1.0,201.0,726.8699045935958,0.0,0.0,0.0,0.0,562.0,0.0,0.0,1.0
419.0,0.0,0.0,402.0,49.0,0.0,0.0,343.0,1.0,477.0,0.0,402.0,0.0,0.0,0.0,0.0,343.0,0.0,0.0,1.0,268.0,0.0,1.0,126.0,711.655694960853,176.0,0.0,419.0,0.0,402.0,1.0,0.0,1.0
194.0,626.0,1.0,439.0,38.0,0.0,187.0,175.0,4.0,439.0,188.0,626.0,626.0,125.0,0.0,0.0,175.0,125.0,0.0,0.0,175.0,0.0,4.0,209.0,779.8308396397807,0.0,187.0,194.0,0.0,0.0,0.0,0.0,1.0
0.0,1075.0,1.0,462.0,75.0,0.0,781.0,61.0,4.0,462.0,276.0,1243.0,1075.0,215.0,0.0,0.0,61.0,215.0,0.0,0.0,61.0,0.0,4.0,200.0,973.2686478004877,0.0,781.0,0.0,0.0,168.0,0.0,0.0,1.0
0.0,854.0,1.0,304.0,112.0,0.0,1242.0,0.0,3.0,304.0,170.0,1546.0,854.0,171.0,0.0,1.0,0.0,170.0,0.0,0.0,0.0,0.0,3.0,134.0,1109.9305576091976,0.0,1241.0,0.0,0.0,692.0,0.0,0.0,1.0
0.0,0.0,0.0,264.0,80.0,0.0,393.0,130.0,1.0,264.0,0.0,657.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,1.0,130.0,0.0,1.0,201.0,839.8897475593062,0.0,393.0,0.0,0.0,657.0,0.0,0.0,1.0
0.0,602.0,1.0,602.0,27.0,0.0,0.0,417.0,6.0,758.0,0.0,602.0,602.0,120.0,0.0,0.0,417.0,120.0,0.0,0.0,261.0,0.0,6.0,30.0,747.7609155795811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,147.0,13.0,0.0,0.0,417.0,2.0,551.0,0.0,147.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,705.4012962642041,0.0,0.0,0.0,0.0,147.0,0.0,0.0,1.0
0.0,0.0,0.0,134.0,84.0,0.0,790.0,0.0,2.0,134.0,0.0,924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,134.0,962.9561307354808,18.0,790.0,0.0,0.0,924.0,1.0,0.0,1.0
267.0,0.0,0.0,226.0,30.0,0.0,188.0,92.0,3.0,226.0,0.0,414.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,92.0,0.0,3.0,201.0,765.4373824019225,0.0,188.0,267.0,0.0,414.0,0.0,0.0,1.0
0.0,0.0,0.0,134.0,28.0,389.0,255.0,0.0,3.0,134.0,0.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,134.0,788.258696840136,0.0,255.0,0.0,0.0,389.0,1.0,0.0,1.0
0.0,0.0,0.0,40.0,5.0,0.0,0.0,0.0,1.0,134.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,711.655694960853,0.0,0.0,0.0,0.0,40.0,0.0,0.0,1.0
0.0,1013.0,1.0,509.0,113.0,0.0,735.0,173.0,2.0,509.0,303.0,1244.0,1013.0,203.0,231.0,0.0,173.0,202.0,0.0,1.0,173.0,0.0,2.0,201.0,945.5684625756128,0.0,734.0,0.0,0.0,231.0,0.0,0.0,1.0
0.0,0.0,0.0,547.0,74.0,0.0,56.0,413.0,1.0,547.0,0.0,603.0,0.0,0.0,0.0,1.0,463.0,0.0,0.0,0.0,413.0,0.0,1.0,201.0,730.1300923602863,603.0,5.0,0.0,0.0,603.0,1.0,0.0,1.0
0.0,0.0,0.0,134.0,108.0,0.0,747.0,0.0,1.0,134.0,0.0,881.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.0,869.2314375616088,0.0,747.0,0.0,0.0,881.0,0.0,0.0,1.0
0.0,0.0,0.0,386.0,113.0,0.0,537.0,198.0,1.0,386.0,0.0,923.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,1.0,198.0,0.0,1.0,201.0,869.2314375616089,0.0,536.0,0.0,0.0,923.0,0.0,0.0,1.0
0.0,0.0,0.0,263.0,85.0,231.0,677.0,129.0,2.0,263.0,0.0,940.0,0.0,0.0,0.0,1.0,129.0,0.0,1.0,0.0,129.0,0.0,2.0,201.0,926.0073359137072,156.0,677.0,0.0,0.0,940.0,1.0,0.0,1.0
0.0,0.0,0.0,253.0,57.0,0.0,370.0,119.0,2.0,253.0,0.0,623.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,1.0,119.0,0.0,2.0,201.0,826.0282440535424,247.0,370.0,0.0,0.0,623.0,0.0,0.0,1.0
0.0,0.0,0.0,134.0,28.0,0.0,97.0,0.0,1.0,134.0,0.0,231.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.0,743.1708434696594,0.0,97.0,0.0,0.0,231.0,1.0,0.0,1.0
210.0,1625.0,1.0,459.0,117.0,0.0,1166.0,0.0,3.0,459.0,325.0,1625.0,1625.0,325.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,3.0,134.0,1084.9357846450434,0.0,1166.0,210.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,134.0,28.0,0.0,97.0,0.0,1.0,134.0,0.0,231.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.0,743.1708434696594,0.0,97.0,0.0,0.0,231.0,1.0,0.0,1.0
0.0,0.0,0.0,436.0,46.0,294.0,714.0,250.0,7.0,436.0,0.0,1150.0,0.0,0.0,0.0,1.0,250.0,0.0,1.0,0.0,250.0,1.0,7.0,279.0,1029.4897706171243,523.0,714.0,0.0,0.0,1150.0,1.0,0.0,1.0
0.0,0.0,0.0,100.0,9.0,0.0,0.0,0.0,2.0,134.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,705.4012962642041,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0
2.0,0.0,0.0,471.0,76.0,0.0,152.0,337.0,1.0,471.0,0.0,623.0,0.0,0.0,0.0,1.0,337.0,0.0,0.0,0.0,337.0,0.0,1.0,201.0,761.6452408870326,25.0,151.0,2.0,0.0,623.0,1.0,0.0,1.0
0.0,1231.0,1.0,910.0,80.0,326.0,647.0,417.0,5.0,910.0,274.0,1557.0,1231.0,246.0,0.0,0.0,417.0,246.0,1.0,0.0,417.0,0.0,5.0,162.0,958.3204150285828,0.0,647.0,0.0,0.0,326.0,1.0,0.0,1.0
0.0,0.0,0.0,231.0,28.0,231.0,0.0,417.0,1.0,551.0,0.0,231.0,0.0,0.0,0.0,0.0,417.0,0.0,1.0,0.0,97.0,0.0,1.0,0.0,711.655694960853,0.0,0.0,0.0,0.0,231.0,1.0,0.0,1.0
0.0,0.0,0.0,134.0,28.0,0.0,97.0,0.0,1.0,134.0,0.0,231.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.0,743.1708434696594,0.0,97.0,0.0,0.0,231.0,1.0,0.0,1.0
0.0,1296.0,1.0,398.0,78.0,0.0,898.0,0.0,4.0,398.0,259.0,1296.0,1296.0,260.0,0.0,0.0,0.0,259.0,0.0,0.0,0.0,0.0,4.0,139.0,1011.3041718713245,0.0,900.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,483.0,92.0,0.0,267.0,349.0,1.0,483.0,0.0,750.0,0.0,0.0,0.0,0.0,348.0,0.0,0.0,0.0,349.0,0.0,1.0,201.0,798.594035706463,0.0,268.0,0.0,0.0,750.0,0.0,0.0,1.0
0.0,0.0,0.0,198.0,74.0,0.0,405.0,64.0,1.0,198.0,0.0,603.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,1.0,64.0,0.0,1.0,198.0,844.2366646014949,603.0,405.0,0.0,0.0,603.0,1.0,0.0,1.0
948.0,0.0,0.0,299.0,74.0,0.0,304.0,165.0,1.0,299.0,0.0,603.0,0.0,0.0,0.0,1.0,165.0,0.0,0.0,0.0,165.0,0.0,1.0,201.0,810.5480575611468,603.0,303.0,948.0,0.0,603.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,711.655694960853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,238.0,35.0,389.0,151.0,104.0,2.0,238.0,0.0,389.0,0.0,0.0,0.0,0.0,104.0,0.0,1.0,0.0,104.0,0.0,2.0,201.0,754.3041129423528,0.0,150.0,0.0,0.0,389.0,1.0,0.0,1.0
403.0,1290.0,1.0,482.0,77.0,0.0,808.0,85.0,4.0,482.0,343.0,1290.0,1290.0,258.0,0.0,0.0,85.0,258.0,0.0,0.0,85.0,0.0,4.0,208.0,981.9624818750046,0.0,807.0,403.0,0.0,0.0,0.0,0.0,1.0
0.0,1113.0,1.0,773.0,92.0,0.0,495.0,417.0,3.0,773.0,274.0,1268.0,1113.0,223.0,0.0,0.0,417.0,222.0,0.0,0.0,417.0,0.0,3.0,142.0,866.5032035168679,0.0,495.0,0.0,0.0,155.0,0.0,0.0,1.0
0.0,812.0,1.0,812.0,99.0,0.0,0.0,417.0,1.0,842.0,212.0,812.0,812.0,162.0,0.0,0.0,417.0,162.0,0.0,0.0,387.0,0.0,1.0,170.0,711.655694960853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,589.0,1.0,492.0,127.0,0.0,549.0,228.0,1.0,492.0,175.0,1041.0,589.0,118.0,0.0,1.0,229.0,117.0,0.0,0.0,228.0,0.0,1.0,201.0,869.2314375616089,95.0,547.0,0.0,0.0,452.0,1.0,0.0,1.0
0.0,0.0,0.0,134.0,28.0,389.0,255.0,0.0,3.0,134.0,0.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,134.0,788.258696840136,0.0,255.0,0.0,0.0,389.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,711.655694960853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,852.0,1.0,726.0,51.0,0.0,126.0,417.0,4.0,726.0,170.0,852.0,852.0,170.0,0.0,0.0,417.0,170.0,0.0,0.0,417.0,2.0,4.0,139.0,760.2697129613572,0.0,125.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,170.0,12.0,120.0,0.0,417.0,3.0,611.0,0.0,170.0,0.0,0.0,0.0,0.0,417.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,704.5805438707989,0.0,0.0,0.0,0.0,170.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,711.655694960853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,5.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,747.4949387192787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,516.0,1.0,351.0,57.0,114.0,279.0,114.0,2.0,351.0,154.0,630.0,516.0,103.0,0.0,0.0,115.0,103.0,1.0,0.0,114.0,0.0,2.0,201.0,796.6865540457782,0.0,278.0,0.0,0.0,114.0,1.0,0.0,1.0
0.0,0.0,0.0,134.0,28.0,0.0,97.0,0.0,1.0,134.0,0.0,231.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.0,743.1708434696594,0.0,97.0,0.0,0.0,231.0,1.0,0.0,1.0
0.0,916.0,1.0,652.0,111.0,310.0,574.0,163.0,2.0,652.0,274.0,1226.0,916.0,183.0,0.0,0.0,164.0,183.0,1.0,0.0,163.0,0.0,2.0,201.0,892.3187288676908,0.0,573.0,0.0,0.0,310.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,2.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,705.4012962642042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1015.0,1.0,337.0,92.0,0.0,678.0,0.0,2.0,337.0,203.0,1015.0,1015.0,203.0,0.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,2.0,134.0,926.0073359137072,0.0,678.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,134.0,28.0,0.0,97.0,0.0,1.0,134.0,0.0,231.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.0,743.1708434696594,0.0,97.0,0.0,0.0,231.0,1.0,0.0,1.0
0.0,0.0,0.0,248.0,77.0,0.0,380.0,114.0,1.0,248.0,0.0,628.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,1.0,114.0,0.0,1.0,201.0,835.5428305209961,427.0,380.0,0.0,0.0,628.0,1.0,0.0,1.0
0.0,0.0,0.0,389.0,28.0,389.0,0.0,322.0,3.0,456.0,0.0,389.0,0.0,0.0,0.0,0.0,322.0,0.0,1.0,0.0,255.0,0.0,3.0,134.0,704.5805438707989,0.0,0.0,0.0,0.0,389.0,1.0,0.0,1.0
0.0,0.0,0.0,191.0,30.0,0.0,308.0,52.0,4.0,191.0,0.0,499.0,0.0,0.0,0.0,1.0,52.0,0.0,0.0,0.0,52.0,0.0,4.0,191.0,818.9530929645381,0.0,308.0,0.0,0.0,499.0,0.0,0.0,1.0
55.0,0.0,0.0,390.0,78.0,0.0,246.0,256.0,1.0,390.0,0.0,636.0,0.0,0.0,0.0,1.0,256.0,0.0,0.0,0.0,256.0,0.0,1.0,201.0,792.0736601413167,0.0,246.0,55.0,0.0,636.0,0.0,0.0,1.0
0.0,0.0,0.0,607.0,66.0,0.0,308.0,417.0,3.0,607.0,0.0,915.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,417.0,0.0,3.0,134.0,804.5596357299704,0.0,308.0,0.0,0.0,915.0,0.0,0.0,1.0
23.0,0.0,0.0,407.0,67.0,0.0,517.0,273.0,3.0,407.0,0.0,924.0,0.0,0.0,0.0,0.0,273.0,0.0,0.0,2.0,273.0,0.0,3.0,201.0,873.0235790684296,529.0,517.0,23.0,0.0,924.0,0.0,0.0,1.0
0.0,1032.0,1.0,368.0,60.0,144.0,808.0,0.0,5.0,368.0,206.0,1176.0,1032.0,206.0,0.0,0.0,0.0,206.0,1.0,0.0,0.0,1.0,5.0,162.0,1010.4834194773224,0.0,807.0,0.0,0.0,144.0,1.0,0.0,1.0
32.0,0.0,0.0,267.0,88.0,0.0,455.0,133.0,1.0,267.0,0.0,722.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,1.0,133.0,0.0,1.0,201.0,860.537603482452,0.0,455.0,32.0,0.0,722.0,0.0,0.0,1.0
0.0,0.0,0.0,427.0,96.0,0.0,906.0,293.0,3.0,427.0,0.0,1333.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,293.0,0.0,3.0,201.0,1000.170902410436,0.0,905.0,0.0,0.0,1333.0,0.0,0.0,1.0
